name,lang,,,,
Emberiza schoeniclus,es,,,,
Emberiza schoeniclus,eo,,,,
Emberiza schoeniclus,ru,,,,
Aythya ferina,en,,,,
Aythya ferina,nl,,,,
Aythya ferina,de,Die Tafelente wurde früher gerne verspeist. Der lateinische Begriff „ferina“ bedeutet „Wildbret“.,,,
Aythya ferina,fr,,,,
Aythya ferina,es,,,,
Aythya ferina,eo,,,,
Aythya ferina,ru,,,,
Corvus cornix,en,,,,
Corvus cornix,nl,,,,
Corvus cornix,de,"Im Osten Deutschlands ist die Nebelkrähe häufig, im Westen trifft man eher auf Rabenkrähen. Im Überschneidungsgebiet sind häufig Hybriden unterwegs.",,,
Corvus cornix,fr,,,,
Corvus cornix,es,,,,
Corvus cornix,eo,,,,
Corvus cornix,ru,,,,
Corvus corax,en,,,,
Corvus corax,nl,,,,
Corvus corax,de,Kolkraben nutzen eine eigene Sprache. Bis zu 79 verschiedene Rufe konnten nachgewiesen werden. Sogar Regeln für den Gebrauch gibt es.,,,
Corvus corax,fr,,,,
Corvus corax,es,,,,
Corvus corax,eo,,,,
Corvus corax,ru,,,,
Regulus regulus,en,,,,
Regulus regulus,nl,,,,
Regulus regulus,de,Die winzigen Weibchen können bis zu zwölf Eier legen. Das Gelege kann dann bis zu anderthalbmal so viel wiegen wie der Vogel.,,,
Regulus regulus,fr,,,,
Regulus regulus,es,,,,
Regulus regulus,eo,,,,
Regulus regulus,ru,,,,
Spinus spinus,en,,,,
Spinus spinus,nl,,,,
Spinus spinus,de,,,,
Spinus spinus,fr,,,,
Spinus spinus,es,,,,
Spinus spinus,eo,,,,
Spinus spinus,ru,,,,
Phylloscopus trochilus,en,,,,
Phylloscopus trochilus,nl,,,,
Phylloscopus trochilus,de,Der Fitis mag es gerne schick. Er mausert als einzige europäische Vogelart sein Großgefieder gleich zwei Mal im Jahr.,,,
Phylloscopus trochilus,fr,,,,
Phylloscopus trochilus,es,,,,
Phylloscopus trochilus,eo,,,,
Phylloscopus trochilus,ru,,,,
Alcedo atthis,en,,,,
Alcedo atthis,nl,,,,
Alcedo atthis,de,"Eisvögel praktizieren die Schachtelbrut: Das Weibchen brütet oft schon auf dem zweiten Gelege, während das Männchen noch die Küken aus dem vorherigen Gelege füttert.",,,
Alcedo atthis,fr,,,,
Alcedo atthis,es,,,,
Alcedo atthis,eo,,,,
Alcedo atthis,ru,,,,
Larus argentatus,en,,,,
Larus argentatus,nl,,,,
Larus argentatus,de,In Berlin brüten Silbermöwen seit kurzem auf dem Bundeskanzleramt.,,,
Larus argentatus,fr,,,,
Larus argentatus,es,,,,
Larus argentatus,eo,,,,
Larus argentatus,ru,,,,
Coccothraustes coccothraustes,en,,,,
Coccothraustes coccothraustes,nl,,,,
Coccothraustes coccothraustes,de,Mit seinem Schnabel kann er einen Druck bis zu 50 Kilogramm aufbauen und so locker Nüsse und Kerne knacken.,,,
Coccothraustes coccothraustes,fr,,,,
